year,inflation,fiscal_balance,debt_gdp,broad_money_gdp,interest_rate,fx_rate,gdp,gdp_pc,exports,imports,trade_balance
2012,10,-2.3,40.43605,27.17564527,12.51,4.55058333,5.45982E+11,12949.7175,88655850854,78013690407,10642160447
2013,10.6,-2.9,43.49607,27.19624241,15.42,5.47658333,5.52025E+11,12963.6758,80690471898,81240190817,-549718918.5
2014,23.9,-2.4,44.69685,25.82170185,21.21,8.12075,5.2632E+11,12233.1444,75818867911,73691675720,2127192191
2015,21,-3.5,52.56264,27.69088504,22.1,9.28425,5.94749E+11,13679.6265,63671789069,70064879912,-6393090843
2016,26.5,-3.8,53.06018,28.3723031,23.14,14.7651667,5.57532E+11,12699.9623,69842604407,75639254068,-5796649660
2017,25.7,-3.6,57.02784,28.49528017,19.75,16.5505,6.43628E+11,14532.5009,72860557903,89910495567,-17049937664
2018,34.3,-2.4,85.24631,30.41075648,35.96,28.7475,5.2482E+11,11752.7999,75766598613,85681309473,-9914710860
2019,53.5,-3.1,89.83969,26.18303895,48.64,50.0346667,4.47755E+11,9955.97479,80259482469,65845624691,14413857778
2020,42,-8.4,103.8158,34.50526317,27.16,74.27075,3.85741E+11,8535.59938,64053810078,52454091268,11599718810
2021,48.4,-3.6,81.04275,30.73095443,34.27,100.576333,4.86564E+11,10738.0179,87906118245,73042905138,14863213107
2022,72.4,-3.8,84.46299,32.19183572,58.71,136.8925,6.33994E+11,13935.6811,1.02816E+11,96814941605,6000880378
2023,133.5,-4.4,155.411,35.82185199,110.5,311.275,6.49462E+11,14187.4827,82369725073,89748037628,-7378312555
2024,219.9,0.3,85.3344,26.33393104,52.75,954.536667,6.38365E+11,13858.204,97106594824,81217515280,15889079544
2025,41.3,1,,,28.58,1203.57556,,,,,
